# Program:featureCounts v1.6.2; Command:"featureCounts" "-T" "24" "-F" "GFF" "-t" "gene" "-g" "ID" "-s" "2" "-a" "/mnt/data/transcriptomica/iperez/proyectofinal/data/genomes/E_coli_and_T4_fixed.gff" "-o" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/featureCounts/gene_counts.txt" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013136.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013137.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013138.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013139.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013140.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013141.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013142.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013143.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013144.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013145.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013146.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013147.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013148.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013149.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013150.bam" 
Geneid	Chr	Start	End	Strand	Length	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013136.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013137.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013138.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013139.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013140.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013141.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013142.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013143.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013144.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013145.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013146.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013147.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013148.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013149.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013150.bam
gene-b2366	ENA|U00096|U00096.3	2479202	2480530	+	1329	12	71	41	67	139	57	197	248	511	629	861	1312	378	1064	771
gene-b2367	ENA|U00096|U00096.3	2480638	2482176	-	1539	2	8	2	21	30	7	37	36	332	42	48	68	6	23	27
gene-b2368	ENA|U00096|U00096.3	2482176	2483339	-	1164	2	3	1	9	12	11	24	19	237	28	29	32	15	31	16
gene-b4781	ENA|U00096|U00096.3	2483729	2483758	+	30	0	0	1	1	5	0	7	7	4	50	21	81	17	28	36
gene-b2369	ENA|U00096|U00096.3	2483755	2484369	+	615	41	137	78	154	304	113	399	340	339	2007	3118	3834	956	1656	1794
gene-b2370	ENA|U00096|U00096.3	2484374	2487967	+	3594	62	222	139	261	567	158	729	619	936	3209	4951	5449	1647	2731	2373
gene-b2371	ENA|U00096|U00096.3	2488023	2489168	-	1146	1	2	0	12	10	5	16	20	332	30	24	35	12	31	36
gene-b2372	ENA|U00096|U00096.3	2489242	2490186	-	945	2	3	2	3	8	4	9	15	310	11	16	18	3	15	12
gene-b2373	ENA|U00096|U00096.3	2490256	2491950	-	1695	1	6	10	9	18	3	21	18	369	23	46	77	23	69	53
gene-b2374	ENA|U00096|U00096.3	2492004	2493254	-	1251	2	6	6	17	23	7	35	29	332	32	48	72	16	46	40
gene-b2375	ENA|U00096|U00096.3	2493767	2494402	-	636	3	3	5	6	10	7	13	23	161	44	47	64	10	33	29
gene-b2376	ENA|U00096|U00096.3	2494698	2494973	+	276	0	1	1	2	8	0	14	11	44	8	13	34	14	12	12
gene-b2377	ENA|U00096|U00096.3	2495050	2495292	-	243	7	22	13	28	59	23	33	62	270	211	349	500	138	433	337
gene-b2378	ENA|U00096|U00096.3	2495645	2496565	+	921	146	521	264	482	1232	372	1187	1218	992	5858	9122	11577	1914	3848	3612
gene-b4680	ENA|U00096|U00096.3	2496921	2496992	+	72	21	41	27	28	66	23	94	164	76	399	439	484	148	1074	218
gene-b2379	ENA|U00096|U00096.3	2497057	2498295	-	1239	104	334	194	318	594	213	539	682	813	2721	3862	5304	1700	4224	4426
gene-b2380	ENA|U00096|U00096.3	2498671	2500368	+	1698	82	364	220	303	635	204	647	693	748	3165	4289	6070	1926	4521	3998
gene-b2381	ENA|U00096|U00096.3	2500383	2501117	+	735	41	143	86	139	282	101	326	363	343	1531	1939	2405	954	2299	2189
gene-b2382	ENA|U00096|U00096.3	2501130	2501987	+	858	32	114	63	135	254	101	290	242	521	1212	2001	2426	901	1529	1782
gene-b2383	ENA|U00096|U00096.3	2501990	2504485	-	2496	2	16	13	15	41	18	42	46	888	150	207	357	88	422	271
gene-b2384	ENA|U00096|U00096.3	2504510	2505547	-	1038	1	9	3	6	7	8	19	13	710	38	72	72	41	63	71
gene-b2385	ENA|U00096|U00096.3	2505547	2506632	-	1086	2	7	2	2	17	3	10	17	300	33	62	58	27	43	54
gene-b2386	ENA|U00096|U00096.3	2506647	2507894	-	1248	2	7	3	5	5	4	4	10	326	32	43	57	22	40	52
gene-b2387	ENA|U00096|U00096.3	2507916	2508242	-	327	0	0	1	1	5	4	2	0	69	5	11	13	5	5	7
gene-b2388	ENA|U00096|U00096.3	2508461	2509426	-	966	72	228	120	231	442	151	420	503	869	1721	2867	3734	1221	3174	2323
gene-b2389	ENA|U00096|U00096.3	2509630	2510886	+	1257	11	37	26	30	42	20	40	54	474	258	373	604	202	425	435
gene-b2390	ENA|U00096|U00096.3	2511001	2511327	+	327	3	6	4	10	10	6	14	17	99	57	91	121	46	109	110
gene-b2392	ENA|U00096|U00096.3	2511468	2512706	-	1239	33	77	64	108	187	62	196	244	694	692	1093	1776	554	1047	1398
gene-b4819	ENA|U00096|U00096.3	2512687	2512776	-	90	1	5	0	4	12	3	14	15	10	33	32	78	11	46	41
gene-b2393	ENA|U00096|U00096.3	2513042	2514244	+	1203	258	651	474	1019	1375	584	2910	1895	1705	8276	9283	12929	6310	12818	12637
gene-b2394	ENA|U00096|U00096.3	2514331	2515443	+	1113	1	0	0	0	0	0	0	1	0	1	1	1	2	1	1
gene-b2395	ENA|U00096|U00096.3	2515643	2517832	-	2190	37	207	136	193	451	169	823	1035	1376	2060	2576	3560	1100	2467	2011
gene-b2396	ENA|U00096|U00096.3	2518041	2518116	-	76	16	76	57	46	105	50	165	259	104	415	527	763	125	637	558
gene-b2397	ENA|U00096|U00096.3	2518156	2518231	-	76	23	125	78	75	186	38	255	524	92	511	495	1192	243	858	965
gene-b2398	ENA|U00096|U00096.3	2518467	2518811	+	345	19	86	43	100	184	61	192	187	153	983	1575	2221	595	1260	1339
gene-b2399	ENA|U00096|U00096.3	2518813	2519205	+	393	24	66	33	61	132	48	135	138	260	905	1477	2099	398	1053	1177
gene-b2400	ENA|U00096|U00096.3	2519257	2520672	-	1416	605	1850	1272	3582	5521	2343	10578	9259	5887	14091	16897	18868	9505	21838	17554
gene-b2401	ENA|U00096|U00096.3	2520931	2521006	+	76	36	372	243	199	876	140	991	1652	247	2366	1128	3903	757	1823	1656
gene-b2402	ENA|U00096|U00096.3	2521051	2521126	+	76	385	1550	956	1381	4860	1228	4029	6445	2182	10032	15941	17403	3069	12707	7277
gene-b2403	ENA|U00096|U00096.3	2521173	2521248	+	76	37	220	135	158	598	109	584	1023	174	1418	1454	2212	535	1579	1092
gene-b2404	ENA|U00096|U00096.3	2521253	2521328	+	76	0	3	1	2	2	0	9	3	4	17	20	26	3	17	11
gene-b2405	ENA|U00096|U00096.3	2521593	2522477	-	885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b2406	ENA|U00096|U00096.3	2522729	2523985	-	1257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b2407	ENA|U00096|U00096.3	2524045	2524878	-	834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b2408	ENA|U00096|U00096.3	2525127	2525891	+	765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b2409	ENA|U00096|U00096.3	2525930	2526856	-	927	9	38	25	49	74	24	123	109	530	429	581	951	314	583	691
gene-b2410	ENA|U00096|U00096.3	2526946	2527944	+	999	59	187	111	171	294	110	307	318	609	1610	2259	3355	1277	2707	2602
gene-b4546	ENA|U00096|U00096.3	2527941	2528159	-	219	15	21	16	56	68	47	162	147	291	218	236	307	120	298	274
gene-b2411	ENA|U00096|U00096.3	2528161	2530176	-	2016	127	416	279	547	980	374	1843	1697	2169	3182	3682	4855	1962	4389	3647
gene-b2412	ENA|U00096|U00096.3	2530247	2531233	-	987	427	1428	949	1622	2695	1063	3378	3256	2300	17643	26192	33617	11135	26526	23857
gene-b2413	ENA|U00096|U00096.3	2531463	2532224	+	762	31	107	70	135	236	76	374	409	299	903	1186	1577	553	1493	1062
gene-b2414	ENA|U00096|U00096.3	2532409	2533380	+	972	812	4438	2094	4601	11303	3146	7830	11881	5165	31144	83239	53957	25190	75407	38743
gene-b2415	ENA|U00096|U00096.3	2533764	2534021	+	258	1104	3537	2302	6050	9935	4383	13382	13707	8829	35220	53985	79085	22956	66077	43043
gene-b2416	ENA|U00096|U00096.3	2534066	2535793	+	1728	4311	13959	9624	21950	34027	13681	53291	49530	31044	155677	226385	346907	97060	250518	194053
gene-b2417	ENA|U00096|U00096.3	2535834	2536343	+	510	1445	4622	3172	8453	12758	5168	20794	18879	11584	51719	82415	109010	31576	86662	56389
gene-b2418	ENA|U00096|U00096.3	2536386	2537237	-	852	77	242	146	313	550	198	674	787	681	2125	3684	4602	1722	4602	3208
gene-b2419	ENA|U00096|U00096.3	2537342	2537716	+	375	3	16	6	22	56	18	56	109	103	56	114	268	29	98	54
gene-b2420	ENA|U00096|U00096.3	2537749	2538483	+	735	9	32	15	44	83	43	119	164	246	289	430	719	151	455	313
gene-b2421	ENA|U00096|U00096.3	2538672	2539583	-	912	117	367	233	343	1059	288	987	2078	1151	1323	3133	2582	1185	2470	3059
gene-b2422	ENA|U00096|U00096.3	2539717	2540814	-	1098	202	1346	605	635	2173	497	1915	3544	1097	3561	14854	8572	4770	11475	10706
gene-b2423	ENA|U00096|U00096.3	2540804	2541679	-	876	37	227	76	90	348	69	171	439	401	1112	3254	1347	667	1448	817
gene-b2424	ENA|U00096|U00096.3	2541679	2542512	-	834	30	146	51	91	300	70	96	268	225	1098	2632	1223	498	1848	793
gene-b2425	ENA|U00096|U00096.3	2542512	2543528	-	1017	70	414	199	259	906	322	388	897	523	1989	5516	2748	2014	10316	2687
gene-b2426	ENA|U00096|U00096.3	2543832	2544623	-	792	82	307	216	387	711	221	811	769	889	3275	5543	7390	2467	4799	4775
gene-b2427	ENA|U00096|U00096.3	2544752	2545609	-	858	4	7	9	2	17	5	8	11	171	81	106	170	71	127	186
gene-b2428	ENA|U00096|U00096.3	2545773	2546669	+	897	20	57	49	103	119	65	279	198	501	447	558	809	412	721	857
gene-b2429	ENA|U00096|U00096.3	2546673	2548097	+	1425	17	39	35	52	97	43	184	130	379	321	359	564	278	496	691
gene-b2430	ENA|U00096|U00096.3	2548102	2549406	+	1305	1	0	0	0	2	1	3	3	22	5	3	9	4	15	10
gene-b2431	ENA|U00096|U00096.3	2549646	2550545	-	900	394	1677	1027	1430	2950	1032	2837	3453	2091	10570	20730	22832	7744	27286	16070
gene-b2432	ENA|U00096|U00096.3	2550641	2551216	-	576	45	194	126	206	666	234	639	904	771	1136	1777	2712	728	2088	1657
gene-b2433	ENA|U00096|U00096.3	2551277	2551726	-	450	9	43	34	47	80	29	95	89	250	475	646	1042	242	585	594
gene-b2434	ENA|U00096|U00096.3	2551713	2552138	-	426	28	89	51	100	138	54	169	182	387	911	1093	1978	467	1255	1297
gene-b2435	ENA|U00096|U00096.3	2552352	2553221	+	870	64	241	143	258	486	193	729	776	589	2438	3410	4660	1572	3397	3383
gene-b2436	ENA|U00096|U00096.3	2553225	2554124	+	900	46	163	119	169	295	109	416	376	484	1311	1563	2175	873	1720	1818
gene-b2437	ENA|U00096|U00096.3	2554130	2555182	-	1053	2	4	8	23	35	15	30	29	346	134	179	269	70	184	203
gene-b2438	ENA|U00096|U00096.3	2555228	2555728	-	501	10	24	19	35	63	18	64	76	340	126	203	247	83	247	211
gene-b2439	ENA|U00096|U00096.3	2555741	2556400	-	660	1	5	2	7	14	2	16	13	83	32	45	59	22	63	42
gene-b2440	ENA|U00096|U00096.3	2556410	2557297	-	888	5	14	8	7	27	10	35	27	514	79	129	205	82	199	164
gene-b2441	ENA|U00096|U00096.3	2557318	2558679	-	1362	3	18	11	13	28	16	43	50	589	86	105	161	66	187	152
gene-b2442	ENA|U00096|U00096.3	2558858	2560066	+	1209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b2443	ENA|U00096|U00096.3	2560257	2560898	+	642	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
gene-b2444	ENA|U00096|U00096.3	2561368	2561613	+	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b2445	ENA|U00096|U00096.3	2561625	2561993	+	369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b2446	ENA|U00096|U00096.3	2562111	2562527	+	417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b2447	ENA|U00096|U00096.3	2562524	2563117	+	594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b2448	ENA|U00096|U00096.3	2563592	2563969	+	378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b2449	ENA|U00096|U00096.3	2563980	2564372	+	393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b2450	ENA|U00096|U00096.3	2564523	2565332	+	810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b2451	ENA|U00096|U00096.3	2565481	2566884	-	1404	1	3	7	7	9	11	31	18	686	60	64	94	38	112	93
gene-b2452	ENA|U00096|U00096.3	2566881	2568107	-	1227	2	4	4	3	12	2	5	16	403	36	37	74	28	72	64
gene-b2453	ENA|U00096|U00096.3	2568324	2569511	-	1188	1	3	3	5	11	0	7	12	828	18	27	59	23	60	49
gene-b2454	ENA|U00096|U00096.3	2569501	2570337	-	837	0	3	2	0	1	0	3	5	355	9	12	13	3	10	22
gene-b2455	ENA|U00096|U00096.3	2570348	2571751	-	1404	0	4	2	3	8	1	2	4	453	13	17	19	12	26	23
gene-b2456	ENA|U00096|U00096.3	2571763	2572050	-	288	0	1	2	0	6	0	2	4	138	2	2	9	2	3	6
gene-b2457	ENA|U00096|U00096.3	2572157	2572450	-	294	2	9	5	35	37	17	37	40	217	60	93	101	44	107	83
gene-b2458	ENA|U00096|U00096.3	2572489	2573505	-	1017	0	2	2	5	10	3	7	14	593	13	23	17	14	29	34
gene-b2459	ENA|U00096|U00096.3	2573502	2574305	-	804	0	2	1	0	3	2	6	1	216	4	9	12	3	13	9
gene-b2460	ENA|U00096|U00096.3	2574302	2575003	-	702	0	0	0	1	0	0	0	1	186	1	0	4	3	1	6
gene-b2461	ENA|U00096|U00096.3	2574978	2575457	-	480	0	0	0	0	1	0	1	0	173	3	1	1	1	4	0
gene-b2462	ENA|U00096|U00096.3	2575470	2575805	-	336	0	1	0	0	1	0	0	3	66	1	2	2	0	1	4
gene-b2463	ENA|U00096|U00096.3	2576098	2578377	-	2280	70	196	153	376	432	236	839	698	1243	1459	1954	2965	1224	2862	2802
gene-b2464	ENA|U00096|U00096.3	2578666	2579616	+	951	20	25	40	57	87	54	101	122	401	280	472	609	176	483	354
gene-b2465	ENA|U00096|U00096.3	2579636	2581639	+	2004	38	114	112	163	229	108	413	345	1092	674	990	1367	490	1226	913
gene-b2466	ENA|U00096|U00096.3	2581734	2582777	-	1044	13	69	45	64	147	49	127	160	631	426	874	1012	246	532	433
gene-b2467	ENA|U00096|U00096.3	2582903	2583478	-	576	60	172	109	243	442	152	499	533	615	1913	2867	3859	1200	2650	1932
gene-b2468	ENA|U00096|U00096.3	2583546	2585525	-	1980	98	291	202	370	492	192	490	460	1060	3624	4810	6577	2616	7278	4614
gene-b2469	ENA|U00096|U00096.3	2585731	2587431	+	1701	71	316	177	268	514	174	501	572	630	3082	5042	6303	1718	4339	3161
gene-b2470	ENA|U00096|U00096.3	2587595	2590708	+	3114	69	168	121	221	426	136	615	696	1627	1550	1836	2253	987	2081	1662
gene-b4606	ENA|U00096|U00096.3	2590807	2590866	-	60	44	197	108	323	859	288	697	1109	451	1501	2381	3960	861	2663	1703
gene-b2471	ENA|U00096|U00096.3	2591247	2591603	+	357	19	97	50	183	284	101	479	378	305	634	847	1331	491	1037	755
gene-b2472	ENA|U00096|U00096.3	2591607	2592734	+	1128	130	434	270	797	1141	470	2255	1817	1694	3361	4088	5992	2192	4804	4092
gene-b4547	ENA|U00096|U00096.3	2592762	2592962	+	201	20	53	31	112	181	66	344	288	339	535	719	1139	365	897	796
gene-b2473	ENA|U00096|U00096.3	2593072	2593770	-	699	37	136	94	136	297	74	296	288	715	1255	2026	3071	939	2245	1967
gene-b2474	ENA|U00096|U00096.3	2593844	2595859	-	2016	93	285	202	384	674	222	930	912	1597	2940	3787	5301	2028	3817	4071
gene-b2475	ENA|U00096|U00096.3	2595874	2596737	-	864	106	215	166	316	589	221	837	803	785	2269	2701	3940	1466	3218	3170
gene-b2476	ENA|U00096|U00096.3	2596905	2597618	-	714	399	972	533	1852	2636	901	4880	3923	2136	7720	6544	10545	6998	10148	14550
gene-b2477	ENA|U00096|U00096.3	2597831	2598865	-	1035	749	2470	1635	2807	4942	1863	7205	7261	4800	24102	33654	42421	16458	38702	29098
gene-b2478	ENA|U00096|U00096.3	2598882	2599760	-	879	652	2106	1364	2342	4081	1295	4758	4650	2949	22395	32003	43862	15272	36927	30268
gene-b2479	ENA|U00096|U00096.3	2599906	2600478	+	573	128	427	285	454	774	277	843	691	669	5817	8022	11902	3805	8161	8225
gene-b2480	ENA|U00096|U00096.3	2600478	2600948	+	471	328	898	680	1083	1798	665	3125	2416	1766	12108	14321	18744	7402	16961	13804
gene-b2481	ENA|U00096|U00096.3	2601201	2601818	+	618	0	4	1	2	8	0	8	13	86	54	107	177	17	14	38
gene-b2482	ENA|U00096|U00096.3	2601818	2603836	+	2019	5	15	9	34	40	19	48	66	710	143	198	304	85	203	217
gene-b2483	ENA|U00096|U00096.3	2603847	2604794	+	948	0	1	0	3	3	2	2	2	261	2	11	14	4	11	10
gene-b2484	ENA|U00096|U00096.3	2604811	2606250	+	1440	1	1	0	5	11	0	1	9	872	6	27	17	9	11	15
gene-b2485	ENA|U00096|U00096.3	2606262	2606912	+	651	1	2	0	2	1	0	0	2	194	3	11	12	3	11	9
gene-b2486	ENA|U00096|U00096.3	2606917	2608497	+	1581	0	12	9	18	35	13	41	36	509	120	207	298	78	156	182
gene-b2487	ENA|U00096|U00096.3	2608487	2610154	+	1668	10	43	18	38	87	29	79	85	530	308	705	1067	249	600	543
gene-b2488	ENA|U00096|U00096.3	2610164	2610709	+	546	1	0	5	3	12	2	7	6	76	30	37	60	19	53	42
gene-b2489	ENA|U00096|U00096.3	2610706	2611464	+	759	1	3	8	11	7	0	14	7	114	22	39	75	27	61	62
gene-b2490	ENA|U00096|U00096.3	2611457	2611870	+	414	1	3	3	5	12	7	11	13	288	32	33	57	18	31	40
gene-b2491	ENA|U00096|U00096.3	2611900	2613912	+	2013	1	13	6	18	34	8	39	37	636	110	164	244	72	170	151
gene-b2492	ENA|U00096|U00096.3	2613934	2614782	+	849	2	6	7	10	22	8	19	27	353	79	155	233	57	172	171
gene-b2493	ENA|U00096|U00096.3	2614820	2615881	-	1062	58	175	112	195	387	126	471	509	920	1756	2493	3726	1029	2912	2514
gene-b2494	ENA|U00096|U00096.3	2616094	2617557	+	1464	49	214	137	244	513	199	482	565	712	1792	2523	4254	1117	2810	2460
gene-b2495	ENA|U00096|U00096.3	2617578	2617937	+	360	76	261	155	499	852	426	1190	1106	908	1943	2613	3368	1367	3140	2649
gene-b2496	ENA|U00096|U00096.3	2618075	2618776	-	702	124	494	327	501	1083	401	1116	1303	1395	4606	7098	10617	2969	6220	6232
gene-b2497	ENA|U00096|U00096.3	2618871	2620160	-	1290	61	95	80	139	245	105	405	448	742	681	742	1212	750	1257	1772
gene-b2498	ENA|U00096|U00096.3	2620246	2620872	-	627	232	818	550	1034	1872	687	2382	2937	1756	6569	9202	11887	5241	12347	11685
gene-b2499	ENA|U00096|U00096.3	2621197	2622234	+	1038	294	895	525	1150	2716	811	6187	6864	3449	3952	3128	2847	3471	6861	5878
gene-b2500	ENA|U00096|U00096.3	2622234	2622872	+	639	136	327	205	462	1193	373	2318	2366	1147	2494	2492	2821	1290	2933	3119
gene-b2501	ENA|U00096|U00096.3	2623044	2625110	+	2067	155	527	291	552	980	341	1057	1095	869	6215	8876	12302	4184	9172	8493
gene-b2502	ENA|U00096|U00096.3	2625115	2626656	+	1542	171	604	380	532	1127	376	1683	1605	1421	4539	7464	9957	3781	8380	6352
gene-b2503	ENA|U00096|U00096.3	2626695	2628938	-	2244	19	44	34	73	108	42	146	116	737	648	829	972	282	948	541
gene-b2504	ENA|U00096|U00096.3	2629290	2629481	+	192	39	176	94	300	455	154	540	361	261	1974	2673	4476	883	996	1977
gene-b2505	ENA|U00096|U00096.3	2629792	2630310	+	519	0	8	3	9	18	7	21	19	94	70	107	140	32	87	54
gene-b2506	ENA|U00096|U00096.3	2630326	2630865	+	540	4	3	4	15	26	4	21	22	159	80	94	149	37	138	71
gene-b2507	ENA|U00096|U00096.3	2630958	2632535	-	1578	1187	2689	1939	6871	9178	4037	17503	13029	8116	19809	20856	29213	15323	28074	36073
gene-b2508	ENA|U00096|U00096.3	2632604	2634070	-	1467	590	1341	818	2488	3318	1477	6855	6263	4545	9532	8080	9893	6160	10898	13108
gene-b2509	ENA|U00096|U00096.3	2634232	2635602	+	1371	231	793	475	779	1309	568	1172	1266	960	12157	18206	23797	4127	7268	10707
gene-b2510	ENA|U00096|U00096.3	2635599	2635814	-	216	11	33	36	109	212	89	376	392	316	385	482	723	313	668	545
gene-b2511	ENA|U00096|U00096.3	2635884	2637356	-	1473	320	861	657	1823	4013	1935	7869	7758	5570	6099	7391	9979	4360	9508	7440
gene-b2512	ENA|U00096|U00096.3	2637474	2638652	-	1179	450	1293	1002	1813	3230	1475	6369	6062	4239	10660	12035	17242	6794	15415	14721
gene-b2513	ENA|U00096|U00096.3	2638663	2639283	-	621	180	535	347	665	1287	574	2735	2571	1986	4249	4924	6697	2803	7047	5288
gene-b2514	ENA|U00096|U00096.3	2639301	2640575	-	1275	544	1934	1359	2210	4124	1669	8539	8215	5878	15371	20419	26454	9158	21666	19869
gene-b4761	ENA|U00096|U00096.3	2640595	2640686	-	92	6	12	10	11	27	18	55	73	73	153	227	300	113	173	155
gene-b2515	ENA|U00096|U00096.3	2640686	2641804	-	1119	499	1648	1211	2145	4166	1671	6649	6302	4113	14755	20970	27915	10264	24396	20264
gene-b2516	ENA|U00096|U00096.3	2641831	2642844	-	1014	375	1400	911	1338	2589	976	3285	3443	2401	13308	18482	26040	7451	15845	17960
gene-b2517	ENA|U00096|U00096.3	2643129	2644283	-	1155	313	1161	714	1358	3302	1176	6258	6203	4339	8003	9014	9785	4521	10935	6556
gene-b2518	ENA|U00096|U00096.3	2644433	2644864	-	432	85	248	153	733	1226	577	2867	2540	1739	1591	1387	1810	1096	1640	2277
gene-b2519	ENA|U00096|U00096.3	2645013	2647325	-	2313	12	74	47	85	154	43	221	242	1127	616	910	1265	344	833	676
gene-b2520	ENA|U00096|U00096.3	2647326	2652287	-	4962	128	438	311	469	827	340	985	1010	2672	4501	7176	10240	3286	6959	7179
gene-b2521	ENA|U00096|U00096.3	2652494	2653339	+	846	49	168	137	179	266	115	312	351	523	1262	1894	2980	1063	3027	2512
gene-b4811	ENA|U00096|U00096.3	2653356	2653455	-	100	0	11	6	11	30	6	48	75	40	71	74	89	30	38	39
gene-b4440	ENA|U00096|U00096.3	2653855	2654158	+	304	0	8	4	10	8	3	23	21	18	24	22	47	25	27	28
gene-b4812	ENA|U00096|U00096.3	2654001	2654126	+	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b2522	ENA|U00096|U00096.3	2654157	2654933	-	777	51	132	121	210	433	155	600	544	544	1374	2196	3639	1102	2703	2520
gene-b2523	ENA|U00096|U00096.3	2655075	2656358	-	1284	160	456	345	630	1085	472	1467	1463	1658	3039	4892	8384	2871	6962	7312
gene-b2524	ENA|U00096|U00096.3	2656536	2656736	-	201	34	69	59	113	263	105	377	411	311	600	828	1183	503	1315	1459
gene-b2525	ENA|U00096|U00096.3	2656748	2657083	-	336	43	126	85	190	318	123	528	570	421	945	1197	1806	791	1735	2108
gene-b2526	ENA|U00096|U00096.3	2657085	2658935	-	1851	188	637	446	760	1429	527	2599	2968	2504	4768	6325	7845	3573	8259	7936
gene-b2527	ENA|U00096|U00096.3	2658952	2659467	-	516	60	154	128	181	333	135	604	693	531	1356	1956	2289	812	1980	2168
gene-b2528	ENA|U00096|U00096.3	2659563	2659886	-	324	118	301	255	402	761	278	1134	1209	899	2646	3560	5189	1961	5001	5104
gene-b2529	ENA|U00096|U00096.3	2659903	2660289	-	387	88	275	206	288	623	225	867	959	812	2070	2868	3870	1625	4083	3890
gene-b2530	ENA|U00096|U00096.3	2660317	2661531	-	1215	334	1048	738	976	1856	720	2545	2611	2167	7018	9584	13465	5509	13745	12848
gene-b2531	ENA|U00096|U00096.3	2661643	2662131	-	489	68	199	136	162	315	138	390	413	439	1720	2896	3508	858	2110	2300
gene-b2532	ENA|U00096|U00096.3	2662583	2663323	-	741	234	647	457	683	1362	493	2028	2319	1418	5117	8369	10585	3322	9795	7809
gene-b2533	ENA|U00096|U00096.3	2663442	2664245	+	804	217	993	712	1368	4301	1780	7217	10570	5379	7536	11837	13731	3023	8357	7230
gene-b2534	ENA|U00096|U00096.3	2664390	2665244	+	855	4	31	17	24	78	25	112	143	211	351	567	659	121	237	190
gene-b2535	ENA|U00096|U00096.3	2665435	2666715	+	1281	8	39	19	35	71	36	82	87	412	313	554	935	235	440	497
gene-b2536	ENA|U00096|U00096.3	2666707	2667846	-	1140	25	123	82	125	234	92	372	380	990	887	1078	1281	545	1287	875
gene-b2537	ENA|U00096|U00096.3	2668006	2668896	-	891	4	16	6	9	19	10	27	28	509	77	120	189	65	142	141
